source	target	time	rating	comment
17	20	2010-11-18 19:28:06.688679936	2	NaN
4	31	2010-11-19 20:12:29.130820096	1	NaN
31	4	2010-11-19 20:12:34.484219904	2	NaN
32	6	2010-11-21 00:47:21.669250048	1	NaN
13	1	2010-11-23 13:56:03.535960064	8	NaN
7	34	2010-11-25 00:20:57.561570048	1	NaN
34	7	2010-11-25 00:21:17.402129920	1	NaN
32	1	2010-11-25 06:35:28.421629952	1	NaN
1	32	2010-11-25 06:35:53.431750144	1	NaN
1	34	2010-11-26 05:47:14.012489984	1	NaN
34	1	2010-11-26 06:26:16.478859776	1	NaN
34	13	2010-11-26 08:04:03.302070016	1	NaN
13	34	2010-11-26 08:52:36.736900096	1	NaN
6	7	2010-11-27 02:52:47.172110080	5	NaN
7	6	2010-11-27 02:56:31.420339968	3	NaN
1	17	2010-11-28 18:33:56.780189952	9	NaN
1	31	2010-11-29 17:46:04.714540032	2	NaN
31	1	2010-11-29 18:39:32.914390016	3	NaN
35	6	2010-11-29 18:42:54.725959936	2	NaN
1	13	2010-11-30 04:22:10.694809856	3	NaN
36	37	2010-11-30 22:57:03.292160000	1	NaN
37	36	2010-11-30 23:30:45.125560064	1	NaN
35	1	2010-11-30 23:31:51.118909952	1	NaN
17	1	2010-12-01 15:38:02.282990080	9	NaN
8	1	2010-12-02 18:40:32.336980224	3	NaN
7	29	2010-12-03 11:35:09.623849984	2	NaN
1	20	2010-12-04 23:27:46.309929984	2	NaN
37	44	2010-12-05 02:18:48.231590144	1	NaN
44	37	2010-12-05 02:21:37.492270080	1	NaN
39	45	2010-12-05 19:54:32.197809920	1	NaN
39	7	2010-12-05 23:04:34.456190208	3	NaN
39	44	2010-12-05 23:19:38.259589888	1	NaN
44	39	2010-12-05 23:20:11.843950080	1	NaN
23	17	2010-12-06 08:23:01.127720192	1	NaN
23	19	2010-12-06 08:23:07.909549824	1	NaN
36	46	2010-12-07 01:16:19.711780096	1	NaN
46	36	2010-12-07 01:16:52.115990016	1	NaN
47	1	2010-12-07 16:44:30.947279872	2	NaN
13	7	2010-12-07 21:23:36.297209856	1	NaN
7	13	2010-12-07 21:23:51.503030016	1	NaN
29	51	2010-12-11 12:28:54.039520000	1	NaN
51	29	2010-12-11 12:42:58.892610048	1	NaN
29	52	2010-12-11 16:33:56.699859968	1	NaN
52	29	2010-12-11 16:34:40.073600000	1	NaN
45	39	2010-12-11 20:26:00.975100160	2	NaN
45	53	2010-12-12 21:28:26.474850048	2	NaN
53	45	2010-12-12 21:30:12.531100160	2	NaN
45	54	2010-12-12 22:43:48.312730112	2	NaN
54	45	2010-12-12 23:04:22.409859840	2	NaN
1	54	2010-12-12 23:26:32.214739968	1	NaN
54	1	2010-12-12 23:26:47.139059968	1	NaN
7	3	2010-12-13 00:34:22.157600000	6	NaN
36	41	2010-12-13 02:10:37.084039936	2	NaN
41	36	2010-12-13 02:11:12.450439936	2	NaN
36	21	2010-12-14 03:32:52.764329984	2	NaN
21	36	2010-12-14 03:33:28.096039936	2	NaN
7	36	2010-12-14 21:13:05.865240064	3	NaN
36	7	2010-12-14 21:14:58.905109760	4	NaN
7	53	2010-12-15 19:46:41.756540160	4	NaN
53	7	2010-12-15 19:47:12.711840000	4	NaN
7	55	2010-12-15 21:17:37.206320128	1	NaN
55	7	2010-12-16 09:06:16.236370176	1	NaN
29	7	2010-12-18 23:49:57.426189824	2	NaN
4	57	2010-12-19 21:56:58.341649920	5	NaN
39	21	2010-12-20 04:25:58.238339840	2	NaN
21	39	2010-12-20 04:28:48.733220096	2	NaN
4	61	2010-12-20 05:40:18.446240000	2	NaN
61	4	2010-12-20 05:41:12.326030080	3	NaN
61	20	2010-12-20 05:41:24.254020096	8	NaN
61	2	2010-12-20 05:42:07.667000064	2	NaN
35	65	2010-12-21 08:40:38.872480000	1	NaN
65	35	2010-12-21 12:52:28.103069952	2	NaN
56	1	2010-12-21 18:45:57.404079872	2	NaN
1	56	2010-12-21 18:46:35.714700032	2	NaN
4	66	2010-12-22 20:45:23.003520000	2	NaN
66	4	2010-12-22 21:52:22.655139840	2	NaN
21	7	2010-12-24 11:53:24.746180096	5	NaN
7	20	2010-12-27 00:31:10.962179840	4	NaN
35	69	2010-12-27 11:14:32.814439936	1	NaN
35	70	2010-12-27 11:14:39.243799808	1	NaN
39	69	2010-12-27 12:35:41.914750208	2	NaN
69	39	2010-12-27 12:37:36.207209984	2	NaN
69	35	2010-12-27 12:37:43.223400192	2	NaN
1	71	2010-12-27 20:20:38.153029888	1	NaN
71	1	2010-12-27 20:25:51.965270016	8	NaN
7	28	2010-12-27 20:28:08.785850112	2	NaN
28	7	2010-12-27 20:37:14.623280128	1	NaN
4	72	2010-12-28 08:04:59.486439936	4	NaN
1	74	2010-12-28 23:34:34.010070016	1	NaN
74	1	2010-12-28 23:34:40.833929984	1	NaN
41	75	2010-12-29 00:52:41.487500032	1	NaN
68	64	2010-12-29 06:11:45.360080128	1	NaN
76	7	2010-12-29 06:35:43.590490112	1	NaN
7	76	2010-12-29 06:36:30.111300096	1	NaN
7	19	2010-12-29 14:18:36.693580032	5	NaN
32	23	2010-12-29 17:20:57.606489856	1	NaN
23	32	2010-12-29 18:12:20.180999936	1	NaN
23	20	2010-12-29 22:17:35.822819840	1	NaN
61	77	2010-12-29 23:37:20.740699904	4	NaN
1	78	2010-12-30 22:52:53.834320128	1	NaN
78	1	2010-12-30 22:54:29.216870144	1	NaN
60	41	2010-12-31 18:24:00.409470208	1	NaN
41	60	2010-12-31 18:32:19.691229952	1	NaN
78	60	2010-12-31 21:37:40.959549952	1	NaN
60	78	2010-12-31 21:37:59.760950016	1	NaN
57	4	2011-01-01 00:54:14.064750080	2	NaN
23	69	2011-01-01 13:22:00.916409856	1	NaN
69	23	2011-01-01 13:22:17.471960064	1	NaN
64	68	2011-01-02 01:05:57.986439936	1	NaN
35	79	2011-01-02 18:54:39.858249984	1	NaN
79	35	2011-01-02 19:36:31.469850112	1	NaN
41	4	2011-01-03 18:59:23.013999872	1	NaN
4	41	2011-01-03 18:59:37.898159872	1	NaN
1	68	2011-01-03 19:41:28.368950016	2	NaN
68	1	2011-01-03 19:42:05.974950144	2	NaN
69	28	2011-01-04 07:36:30.415000064	3	NaN
28	69	2011-01-04 14:46:32.919249920	3	NaN
64	80	2011-01-05 01:22:22.607019776	1	NaN
17	81	2011-01-05 01:48:14.047630080	1	NaN
81	17	2011-01-05 01:56:54.672320000	1	NaN
69	62	2011-01-05 16:20:10.426300160	1	NaN
62	69	2011-01-05 17:38:00.613019904	1	NaN
41	83	2011-01-05 21:27:49.277060096	1	NaN
41	104	2011-01-05 22:41:04.640710144	1	NaN
83	41	2011-01-05 22:41:17.040649984	1	NaN
41	86	2011-01-05 23:46:57.572140032	1	NaN
86	41	2011-01-06 00:33:43.321410048	1	NaN
104	41	2011-01-06 03:37:48.747719936	1	NaN
4	87	2011-01-06 07:47:10.229959936	1	NaN
87	4	2011-01-06 07:49:46.314040064	1	NaN
81	69	2011-01-07 10:26:10.329600000	2	NaN
69	81	2011-01-07 10:27:56.495340032	2	NaN
41	89	2011-01-07 18:47:52.975689984	1	NaN
89	41	2011-01-07 19:47:09.844659968	1	NaN
60	87	2011-01-07 19:52:12.327320064	1	NaN
87	60	2011-01-07 19:53:19.784120064	1	NaN
7	89	2011-01-07 22:15:42.465410048	2	NaN
89	7	2011-01-07 22:26:33.840819968	2	NaN
64	94	2011-01-09 04:12:55.242390016	1	NaN
41	70	2011-01-09 17:55:19.201790208	1	NaN
94	64	2011-01-09 18:52:18.540060160	1	NaN
70	95	2011-01-09 19:12:01.900780032	1	NaN
95	70	2011-01-09 19:12:34.235110144	3	NaN
70	41	2011-01-09 19:12:35.248310016	1	NaN
70	35	2011-01-09 19:12:42.031950080	1	NaN
39	17	2011-01-10 19:56:21.252549888	3	NaN
17	39	2011-01-10 19:57:18.394910208	1	NaN
70	96	2011-01-11 23:32:01.908359936	1	NaN
96	70	2011-01-12 17:51:33.163310080	3	NaN
15	97	2011-01-13 11:57:38.695149824	2	NaN
97	15	2011-01-13 13:57:56.836280064	2	NaN
69	99	2011-01-13 19:39:56.869449984	4	NaN
99	69	2011-01-13 21:15:08.359729920	1	NaN
88	7	2011-01-14 03:00:57.980439808	3	NaN
1	81	2011-01-14 05:14:02.235209984	1	NaN
70	15	2011-01-14 09:20:43.918450176	1	NaN
15	70	2011-01-14 13:26:33.793960192	1	NaN
81	1	2011-01-15 03:02:39.466320128	1	NaN
1	101	2011-01-16 07:44:33.992059904	1	NaN
62	54	2011-01-16 21:31:37.497920000	2	NaN
54	62	2011-01-16 21:31:53.501810176	2	NaN
101	1	2011-01-16 23:17:44.744379904	1	NaN
100	101	2011-01-17 00:11:14.800150016	1	NaN
101	103	2011-01-17 00:25:55.115820032	1	NaN
80	25	2011-01-17 16:43:51.451859968	2	NaN
100	60	2011-01-18 23:51:06.149789952	2	NaN
39	4	2011-01-19 05:55:59.005240064	1	NaN
4	39	2011-01-19 05:56:11.508879872	1	NaN
41	105	2011-01-19 18:00:35.880870144	1	NaN
72	4	2011-01-20 07:16:05.131720192	4	NaN
96	106	2011-01-20 15:43:16.774259968	1	NaN
106	96	2011-01-20 21:58:13.079070208	1	NaN
81	107	2011-01-21 14:40:29.449479936	2	NaN
107	81	2011-01-21 15:03:58.775340032	3	NaN
60	108	2011-01-21 22:05:15.553230080	1	NaN
108	60	2011-01-21 22:05:36.522860032	1	NaN
97	68	2011-01-22 18:15:15.426160128	1	NaN
68	97	2011-01-22 18:18:44.599479808	1	NaN
96	107	2011-01-23 18:16:33.897020160	2	NaN
7	109	2011-01-24 05:33:09.687330048	1	NaN
109	7	2011-01-24 05:33:17.870820096	1	NaN
41	110	2011-01-25 21:17:12.968920064	1	NaN
41	68	2011-01-25 22:43:34.743129856	1	NaN
68	41	2011-01-25 22:44:40.144979968	1	NaN
107	96	2011-01-26 19:49:45.995239936	2	NaN
23	7	2011-01-26 21:07:42.499739904	5	NaN
7	111	2011-01-26 23:48:43.473090048	1	NaN
111	7	2011-01-26 23:50:47.782870016	1	NaN
64	112	2011-01-27 02:52:21.777220096	2	NaN
112	64	2011-01-27 02:52:48.616529920	2	NaN
112	77	2011-01-27 21:21:50.872740096	1	NaN
112	115	2011-01-27 21:22:24.677090048	2	NaN
112	60	2011-01-27 21:23:23.153619968	4	NaN
60	112	2011-01-27 21:37:24.662240000	4	NaN
109	39	2011-01-28 15:43:32.306409984	1	NaN
39	109	2011-01-28 15:43:40.538089984	1	NaN
6	114	2011-01-29 08:57:37.018699776	2	NaN
114	39	2011-01-29 08:58:03.029419776	1	NaN
6	32	2011-01-29 09:02:03.909769984	1	NaN
39	114	2011-01-29 09:04:38.918629888	1	NaN
47	7	2011-01-31 22:14:20.000509952	1	NaN
1	119	2011-01-31 22:15:02.969600000	1	NaN
119	1	2011-01-31 22:36:24.096979968	10	NaN
100	1	2011-01-31 22:37:07.304840192	3	NaN
100	7	2011-02-01 02:49:43.066030080	4	NaN
7	100	2011-02-01 02:51:08.834350080	2	NaN
7	47	2011-02-01 02:51:58.478759936	1	NaN
7	122	2011-02-01 09:47:53.178610176	1	NaN
122	7	2011-02-01 09:48:01.630510080	1	NaN
23	108	2011-02-01 16:51:22.737479936	1	NaN
108	23	2011-02-01 16:51:32.825959936	1	NaN
108	104	2011-02-01 17:08:21.422800128	1	NaN
104	108	2011-02-01 17:08:47.986779904	1	NaN
60	56	2011-02-01 21:21:42.621430016	2	NaN
115	77	2011-02-01 23:03:01.267980032	3	NaN
119	127	2011-02-02 01:03:50.857139968	10	NaN
119	25	2011-02-02 01:14:33.322479872	1	NaN
1	2	2011-02-02 06:49:03.620729856	8	NaN
1	76	2011-02-02 07:20:15.114680064	2	NaN
76	1	2011-02-02 07:22:04.448430080	2	NaN
1	23	2011-02-02 14:41:11.100189952	6	NaN
54	129	2011-02-02 21:36:52.848570112	1	NaN
116	7	2011-02-02 23:18:53.364169984	2	NaN
7	116	2011-02-02 23:19:33.263209984	2	NaN
54	13	2011-02-02 23:51:53.931200000	2	NaN
13	54	2011-02-02 23:52:44.788680192	2	NaN
77	39	2011-02-03 17:29:57.208889856	3	NaN
77	15	2011-02-03 17:32:15.653609984	1	NaN
77	6	2011-02-03 17:33:11.498490112	3	NaN
77	1	2011-02-03 17:33:16.242310144	3	NaN
77	23	2011-02-03 17:33:34.290119936	1	NaN
77	28	2011-02-03 17:33:55.618680064	3	NaN
77	115	2011-02-03 17:34:04.145720064	3	NaN
77	112	2011-02-03 17:35:11.909549824	1	NaN
77	131	2011-02-03 17:36:39.047209984	1	NaN
77	61	2011-02-03 17:37:24.662099968	3	NaN
129	54	2011-02-03 18:46:19.862659840	1	NaN
54	2	2011-02-03 21:44:31.347340032	2	NaN
2	54	2011-02-03 21:44:54.334359808	2	NaN
127	119	2011-02-03 22:42:59.279220224	10	NaN
127	132	2011-02-03 22:45:29.837120000	1	NaN
132	127	2011-02-03 23:06:00.494579968	2	NaN
7	133	2011-02-04 04:02:03.683500032	1	NaN
133	7	2011-02-04 04:05:59.704000000	1	NaN
105	41	2011-02-04 16:44:22.524800000	1	NaN
41	64	2011-02-05 01:10:52.526000128	1	NaN
64	41	2011-02-05 01:11:57.363290112	1	NaN
57	110	2011-02-05 01:41:08.189500160	1	NaN
113	125	2011-02-05 05:38:25.287049984	2	NaN
125	113	2011-02-05 05:44:04.812140032	2	NaN
54	7	2011-02-05 13:40:25.272069888	6	NaN
7	54	2011-02-05 13:45:57.934629888	5	NaN
113	23	2011-02-05 17:36:22.064909824	2	NaN
113	135	2011-02-05 17:37:04.464410112	2	NaN
135	113	2011-02-05 17:40:23.983480064	2	NaN
78	36	2011-02-07 15:49:08.026240000	2	NaN
36	78	2011-02-07 15:50:04.327660032	2	NaN
2	132	2011-02-07 18:15:09.391369984	2	NaN
132	2	2011-02-07 18:16:25.308809984	2	NaN
96	15	2011-02-08 17:49:19.234999808	4	NaN
110	57	2011-02-08 20:43:56.374599936	1	NaN
110	41	2011-02-08 20:44:03.904230144	1	NaN
132	28	2011-02-08 23:09:14.682670080	1	NaN
28	132	2011-02-08 23:20:40.847239936	1	NaN
111	1	2011-02-09 22:50:37.510400000	1	NaN
132	134	2011-02-10 01:25:58.115840000	1	NaN
134	132	2011-02-10 01:26:04.400100096	1	NaN
132	100	2011-02-10 03:23:24.524920064	1	NaN
100	132	2011-02-10 03:25:56.094970112	1	NaN
41	137	2011-02-10 05:24:00.135420160	1	NaN
15	96	2011-02-10 17:45:11.129640192	3	NaN
137	41	2011-02-10 19:53:21.170880000	1	NaN
7	137	2011-02-10 20:40:41.708830208	1	NaN
137	7	2011-02-10 20:51:58.264300032	1	NaN
1	138	2011-02-10 21:36:57.097340160	1	NaN
138	1	2011-02-10 21:43:24.872549888	1	NaN
132	138	2011-02-10 23:00:06.445619968	1	NaN
138	132	2011-02-10 23:01:11.137069824	1	NaN
100	111	2011-02-11 00:56:01.438169856	1	NaN
111	100	2011-02-11 00:58:42.899549952	1	NaN
100	64	2011-02-11 01:06:07.256669952	1	NaN
64	100	2011-02-11 01:06:58.354830080	1	NaN
41	140	2011-02-11 21:58:41.011759872	1	NaN
140	41	2011-02-11 22:21:14.483560192	1	NaN
7	60	2011-02-11 23:38:32.379069952	5	NaN
60	100	2011-02-12 03:02:44.519340032	2	NaN
7	141	2011-02-12 03:43:26.041120000	2	NaN
141	134	2011-02-12 05:43:29.503310080	5	NaN
134	141	2011-02-12 07:00:46.218130176	5	NaN
141	7	2011-02-12 07:01:26.698579968	3	NaN
132	21	2011-02-12 17:51:39.478189824	5	NaN
139	132	2011-02-12 18:02:31.043440128	1	NaN
132	139	2011-02-12 18:10:17.737910016	1	NaN
78	132	2011-02-12 22:49:02.578380032	3	NaN
2	3	2011-02-13 04:08:27.334039808	8	NaN
132	142	2011-02-13 18:31:49.863329792	1	NaN
142	132	2011-02-13 19:45:01.051870208	1	NaN
110	142	2011-02-13 19:49:44.940839936	1	NaN
1	110	2011-02-13 20:01:33.101080064	1	NaN
110	1	2011-02-13 20:02:28.992669952	1	NaN
142	110	2011-02-13 20:19:47.631650048	1	NaN
110	76	2011-02-14 00:46:40.676120064	2	NaN
2	142	2011-02-14 01:46:13.798080000	1	NaN
142	2	2011-02-14 01:46:19.655960064	1	NaN
110	143	2011-02-14 03:09:53.629029888	1	NaN
143	110	2011-02-14 03:10:23.051500032	1	NaN
75	132	2011-02-14 12:29:04.767899904	1	NaN
110	134	2011-02-14 22:28:08.033479936	1	NaN
134	110	2011-02-14 22:38:10.506269952	1	NaN
132	144	2011-02-15 01:47:30.422009856	1	NaN
144	132	2011-02-15 01:47:39.946409984	1	NaN
1	145	2011-02-15 17:11:03.895030016	1	NaN
145	1	2011-02-15 17:12:15.518579968	1	NaN
146	2	2011-02-15 22:11:43.354180096	1	NaN
60	147	2011-02-15 22:33:11.757319936	1	NaN
41	148	2011-02-15 23:28:59.285160192	1	NaN
148	41	2011-02-15 23:30:15.381510144	1	NaN
23	113	2011-02-16 00:22:16.609980160	4	NaN
21	132	2011-02-16 02:54:44.769680128	2	NaN
93	81	2011-02-16 08:20:14.540980224	2	NaN
78	149	2011-02-16 14:23:06.486889984	1	NaN
149	150	2011-02-16 14:23:43.361949952	1	NaN
150	149	2011-02-16 14:24:34.160620032	1	NaN
132	75	2011-02-16 16:14:26.382819840	1	NaN
2	110	2011-02-16 17:45:31.025209856	1	NaN
110	2	2011-02-16 17:45:38.839639808	1	NaN
110	144	2011-02-16 17:46:00.647919872	1	NaN
144	110	2011-02-16 17:48:46.434739968	1	NaN
41	147	2011-02-16 18:46:50.562119936	1	NaN
147	41	2011-02-16 18:56:35.236259840	1	NaN
132	152	2011-02-16 19:54:51.496720128	1	NaN
104	153	2011-02-16 21:59:20.044229888	2	NaN
81	93	2011-02-17 01:46:54.441349888	3	NaN
152	154	2011-02-17 02:12:52.119659776	1	NaN
154	152	2011-02-17 02:12:52.298700032	2	NaN
152	75	2011-02-17 02:16:25.044100096	1	NaN
110	155	2011-02-17 02:44:24.511010048	1	NaN
132	156	2011-02-17 03:06:37.640310016	4	NaN
156	132	2011-02-17 03:08:07.225600000	4	NaN
132	113	2011-02-17 04:10:03.121139968	3	NaN
113	132	2011-02-17 04:11:20.114820096	3	NaN
155	110	2011-02-17 04:12:17.361819904	1	NaN
41	157	2011-02-17 16:25:15.118710016	1	NaN
157	41	2011-02-17 16:49:04.452889856	1	NaN
149	132	2011-02-17 20:57:07.002160128	1	NaN
132	149	2011-02-17 20:57:21.977740032	1	NaN
113	158	2011-02-17 21:00:22.392420096	1	NaN
158	113	2011-02-17 21:00:28.094060032	2	NaN
56	7	2011-02-17 22:06:04.620579840	3	NaN
7	56	2011-02-17 22:08:13.924640000	3	NaN
41	132	2011-02-18 15:48:45.361149952	1	NaN
153	104	2011-02-18 16:36:40.344320000	2	NaN
132	41	2011-02-18 18:37:39.082000128	1	NaN
114	1	2011-02-18 19:07:56.442429952	2	NaN
1	114	2011-02-18 20:44:53.741430016	2	NaN
1	111	2011-02-18 20:51:34.483869952	2	NaN
60	160	2011-02-18 23:34:19.676709888	1	NaN
160	60	2011-02-18 23:34:41.952729856	1	NaN
114	149	2011-02-19 15:07:47.613910016	1	NaN
149	114	2011-02-19 15:49:42.320689920	1	NaN
114	146	2011-02-19 20:07:30.016769792	1	NaN
78	146	2011-02-19 20:22:00.376480000	1	NaN
146	78	2011-02-19 20:27:41.905710080	1	NaN
122	78	2011-02-19 20:28:04.261149952	1	NaN
132	78	2011-02-19 20:28:22.068960000	3	NaN
146	114	2011-02-19 20:29:49.697100032	1	NaN
114	21	2011-02-20 02:44:27.270329856	1	NaN
7	161	2011-02-20 02:45:38.523990016	3	NaN
161	7	2011-02-20 02:45:49.763480064	3	NaN
21	114	2011-02-20 04:29:56.502470144	1	NaN
132	104	2011-02-21 01:33:49.599319808	1	NaN
104	132	2011-02-21 01:33:56.659290112	1	NaN
132	157	2011-02-21 05:14:25.407869952	2	NaN
157	132	2011-02-21 05:23:58.453329920	2	NaN
1	7	2011-02-21 05:47:36.420739840	9	NaN
7	1	2011-02-21 05:49:06.369319936	7	NaN
132	162	2011-02-21 18:08:05.256659968	1	NaN
162	132	2011-02-21 18:10:59.994649856	1	NaN
41	163	2011-02-21 18:47:56.764199936	1	NaN
163	41	2011-02-21 18:48:13.594490112	1	NaN
41	162	2011-02-21 19:11:37.573460224	1	NaN
162	41	2011-02-21 19:11:57.024480000	1	NaN
2	149	2011-02-22 03:47:15.183330048	1	NaN
149	2	2011-02-22 03:47:29.839649792	1	NaN
75	41	2011-02-22 18:38:35.406330112	2	NaN
143	81	2011-02-23 03:22:18.727080192	1	NaN
143	80	2011-02-23 03:23:47.575059968	1	NaN
80	143	2011-02-23 03:25:43.839729920	1	NaN
1	165	2011-02-23 18:55:10.224049920	1	NaN
165	1	2011-02-23 18:55:18.262500096	1	NaN
152	166	2011-02-24 02:11:02.945980160	1	NaN
166	152	2011-02-24 02:14:40.515369984	1	NaN
2	166	2011-02-24 04:10:15.606030080	1	NaN
166	2	2011-02-24 04:11:33.711340032	1	NaN
110	104	2011-02-24 20:01:45.043510016	1	NaN
41	167	2011-02-24 22:01:18.756800000	1	NaN
167	41	2011-02-24 22:01:53.750060032	1	NaN
41	168	2011-02-24 23:19:49.747160064	1	NaN
168	41	2011-02-24 23:21:47.369110016	1	NaN
132	169	2011-02-25 05:23:31.856199936	2	NaN
169	132	2011-02-25 05:24:19.262400000	2	NaN
81	149	2011-02-25 08:52:59.122489856	1	NaN
142	170	2011-02-25 14:47:18.443120128	1	NaN
170	142	2011-02-25 14:50:45.290179840	1	NaN
45	171	2011-02-25 15:09:24.141900032	2	NaN
171	45	2011-02-25 15:26:09.997529856	2	NaN
64	166	2011-02-25 17:05:34.322619904	1	NaN
166	64	2011-02-25 17:05:59.588499968	1	NaN
113	166	2011-02-25 17:21:57.413379840	1	NaN
166	113	2011-02-25 17:21:57.678839808	1	NaN
60	104	2011-02-25 17:26:29.704679936	2	NaN
60	172	2011-02-25 18:10:30.160800000	1	NaN
64	3	2011-02-25 20:17:30.040549888	1	NaN
113	173	2011-02-25 20:23:14.716770048	2	NaN
173	113	2011-02-25 20:52:31.558060032	1	NaN
41	174	2011-02-25 21:00:48.203429888	1	NaN
172	60	2011-02-25 21:01:27.636760064	1	NaN
166	156	2011-02-26 04:21:19.992090112	2	NaN
156	166	2011-02-26 04:22:17.719320064	2	NaN
175	7	2011-02-26 08:15:56.960499968	2	NaN
45	176	2011-02-26 17:17:55.717220096	3	NaN
161	144	2011-02-26 21:54:04.958099968	1	NaN
144	161	2011-02-26 21:54:28.918729984	1	NaN
7	166	2011-02-26 22:32:30.408349952	1	NaN
161	177	2011-02-27 03:45:15.234659840	1	NaN
177	161	2011-02-27 03:46:01.050620160	1	NaN
149	129	2011-02-27 08:30:55.872740096	1	NaN
129	149	2011-02-27 08:31:08.731689984	1	NaN
144	178	2011-02-27 21:54:31.572320000	1	NaN
178	144	2011-02-27 21:54:43.578289920	1	NaN
75	1	2011-02-27 22:03:20.383020032	2	NaN
75	179	2011-02-27 22:03:30.441390080	1	NaN
179	75	2011-02-27 22:03:44.279720192	1	NaN
75	62	2011-02-27 22:04:52.263190016	2	NaN
62	75	2011-02-27 22:04:58.060620032	2	NaN
143	173	2011-02-28 06:29:57.889210112	1	NaN
149	173	2011-02-28 06:33:13.433900032	1	NaN
173	149	2011-02-28 06:36:04.122139904	1	NaN
173	143	2011-02-28 06:36:55.999399936	1	NaN
166	180	2011-02-28 07:41:52.590710016	1	NaN
180	166	2011-02-28 07:43:16.515950080	1	NaN
174	41	2011-02-28 08:12:55.101850112	1	NaN
149	81	2011-02-28 13:01:56.560879872	3	NaN
144	143	2011-02-28 21:02:15.423540224	1	NaN
143	144	2011-02-28 21:04:57.424669952	1	NaN
60	148	2011-02-28 21:32:40.872980224	2	NaN
148	60	2011-02-28 21:33:05.248440064	2	NaN
2	156	2011-02-28 21:48:35.268960000	1	NaN
156	2	2011-02-28 21:48:44.586190080	1	NaN
1	19	2011-03-01 03:32:34.248750080	6	NaN
132	181	2011-03-02 02:00:53.022730240	1	NaN
181	132	2011-03-02 02:01:30.363110144	1	NaN
135	181	2011-03-02 02:23:53.453049856	1	NaN
181	135	2011-03-02 02:24:32.095089920	1	NaN
132	159	2011-03-02 02:53:09.956880128	1	NaN
159	132	2011-03-02 02:53:31.423460096	1	NaN
135	143	2011-03-02 03:57:50.000070144	1	NaN
143	135	2011-03-02 04:01:24.571140096	1	NaN
148	182	2011-03-02 04:45:20.302149888	1	NaN
182	148	2011-03-02 04:45:33.746160128	1	NaN
144	181	2011-03-02 04:52:51.846380032	1	NaN
181	144	2011-03-02 04:54:03.766560000	1	NaN
181	183	2011-03-02 05:24:27.003209984	2	NaN
183	181	2011-03-02 05:25:51.716720128	2	NaN
143	183	2011-03-02 05:38:14.869640192	1	NaN
183	143	2011-03-02 05:40:03.241810176	1	NaN
142	64	2011-03-02 17:02:00.834160128	1	NaN
64	142	2011-03-02 17:02:12.117049856	1	NaN
184	7	2011-03-02 17:43:31.164809984	2	NaN
7	184	2011-03-02 17:50:14.040299776	2	NaN
80	7	2011-03-02 17:53:38.204910080	1	NaN
7	78	2011-03-02 19:20:49.422489856	1	NaN
78	7	2011-03-02 19:21:14.947160064	1	NaN
147	179	2011-03-02 21:29:41.016910080	1	NaN
179	147	2011-03-02 22:00:58.852420096	1	NaN
7	185	2011-03-03 11:31:47.928230144	1	NaN
185	7	2011-03-03 11:35:11.958030080	1	NaN
176	45	2011-03-03 18:51:32.562690048	1	NaN
183	186	2011-03-04 02:10:00.795269888	1	NaN
186	183	2011-03-04 02:12:08.255709952	1	NaN
